store_name,address,city,state,postal_code,store_number,phone_number,lat,long,amenities
"1901 N.Tryon, North End","1901 N.Tryon, Charlotte",Charlotte,NC,28206,77718-302026,+1 704-243-9302,35.24264,-80.82329,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 61,"1227 East Blvd., Charlotte",Charlotte,NC,28203,67502-100609,+1 704-375-5071,35.20359,-80.8449,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
7th Street,"1961 East 7th Street, Charlotte",Charlotte,NC,28204,8211-819,+1 704-333-5880,35.21247,-80.8179,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
East Blvd,"1401 East Boulevard, Charlotte",Charlotte,NC,28203,8288-1929,+1 704-338-9911,35.20134,-80.84336,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Publix Charlotte 1453,"2222 SOUTH BLVD, Charlotte",Charlotte,NC,28203,49409-266016,+1 704-373-2122,35.20634,-80.86225,"In Store,Oven-warmed Food,Wireless Hot-Spot"
Harris Teeter Charlotte 401,"1704 Central Ave, Charlotte",Charlotte,NC,28205,19257-182669,+1 704-375-8491,35.22025,-80.81068,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Providence Road,"545 Providence Rd., Charlotte",Charlotte,NC,28207,8210-824,+1 704-372-1591,35.2021,-80.82453,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 305,"2717 South Blvd, Charlotte",Charlotte,NC,28209,52425-274266,+1 704-527-1018,35.20079,-80.86597,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Harris Teeter Charlotte 412,"1015 Providence Rd, Charlotte",Charlotte,NC,28207,19543-159188,+1 704-338-9100,35.19528,-80.82662,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
I-85 & Brookshire Blvd,"4019 Brookshire Blvd, charlotte",charlotte,NC,28216,62268-296863,+1 704-748-0519,35.26524,-80.88178,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Park Towne Village,"4425 Park Road, Charlotte",Charlotte,NC,28209,2971-79140,+1 704-527-2463,35.17127,-80.85069,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Cotswold Village Shops,"4450 Randolph Rd. Ste 100, Charlotte",Charlotte,NC,28211,8240-103436,+1 704-442-0333,35.17703,-80.79936,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Independence & Wilshire,"3935 E. Independence Blvd, Charlotte",Charlotte,NC,28205,66950-300715,+1 704-686-7077,35.20107,-80.77368,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
I-77 & Tyvola,"436 Tyvola Road, charlotte",charlotte,NC,28217,65308-299614,+1 704-981-2308,35.16292,-80.88644,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Tyvola and City Park,"3320 Potomac River Parkway, Charlotte",Charlotte,NC,28217,51440-274405,+1 704-561-2509,35.18152,-80.91567,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Morrocroft Village - HT,"6701 Morrison Blvd., Charlotte",Charlotte,NC,28211,8216-45,+1 704-365-5194,35.15323,-80.82553,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
CLT E Concourse,"5501 Josh Birmingham Pkwy, Charlotte",Charlotte,NC,28208,22352-219264,+1 704-359-4218,35.22301,-80.93983,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
I-77 & Sunset,"6328 Banner Elk Drive, Charlotte",Charlotte,NC,28216,65466-299664,+1 704-413-1920,35.30639,-80.85075,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
CLT D Concourse,"5501 Josh Birmingham Pkwy, Charlotte",Charlotte,NC,28208,50153-272404,+1 704-359-4546,35.22076,-80.94025,"Blonde Espresso,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Monroe and Idlewild,"4044 Connection Point Boulevard, Charlotte",Charlotte,NC,28212,58139-291004,+1 704-942-5074,35.18451,-80.75835,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
Sharon Road and Fairview Road,"4805 Sharon Road, Charlotte",Charlotte,NC,28210,25058-237072,+1 980-221-6249,35.14608,-80.8317,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
CLT C Concourse,"5502 Josh Birmingham Parkway, Charlotte",Charlotte,NC,28208,72362-5660,+1 704-359-4546,35.21853,-80.94238,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Open 24 hours per day,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
CLT B Concourse,"5501 Josh Birmingham Parkway, Charlotte",Charlotte,NC,28208,72402-3649,+1 704-359-4982,35.2184,-80.94521,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
CLT A Concourse,"5501 RC Josh Birmingham Pkwy, Charlotte",Charlotte,NC,28208,54885-286632,+1 704-359-4546,35.22047,-80.94639,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Open 24 hours per day,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Ikea Blvd,"6925 University City Blvd, Charlotte",Charlotte,NC,28262,50494-271628,+1 980-266-7269,35.29072,-80.7653,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Charlotte NE T-1081,"8120 University City Blvd, Charlotte",Charlotte,NC,28213,69366-303803,+1 704-599-6332,35.29258,-80.74572,"Blonde Espresso,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Arrowood Road,"7819 Forest Pine Drive, Charlotte",Charlotte,NC,28217,10324-99035,+1 704-523-2699,35.13685,-80.9042,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
University City & W T Harris B,"8420 University City Blvd, charlotte",charlotte,NC,28213,64837-298843,+1 980-710-6004,35.29596,-80.74165,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 258,"8600 University City Blvd, Charlotte",Charlotte,NC,28213,79419-98072,+1 704-593-1395,35.29601,-80.7391,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
WT Harris & Davis Lake Pkwy,"8421 Davis Lake Parkway, Charlotte",Charlotte,NC,28269,10388-301466,+1 704-921-4515,35.33361,-80.81168,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Olde Towne Village,"4100 Carmel Road, Charlotte",Charlotte,NC,28226,8351-13967,+1 704-541-0203,35.11706,-80.82379,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 204,"8538 Park Road, Charlotte",Charlotte,NC,28210,66645-300700,+1 704-553-8378,35.11654,-80.85829,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Whitehall,"8951-A SOUTH TRYON STREET, Charlotte",Charlotte,NC,28273,8572-82300,+1 704-504-1832,35.13661,-80.93713,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Mallard Pointe,"9335 North Tryon Street, Charlotte",Charlotte,NC,28262,8234-173224,+1 704-547-1787,35.31349,-80.7431,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Charlotte Premium Outlet Mall,"5434 New Fashion Way, Charlotte",Charlotte,NC,28278,86892-315979,,35.16924,-80.97029,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards"
UNCC Atkins Library,"9201 University Blvd., Charlotte",Charlotte,NC,28223,69380-302337,+1 704-687-7056,35.30551,-80.73263,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
UNCC Popp Martin Student Union,"9201 University City Blvd, Charlotte",Charlotte,NC,28223,78090-115167,+1 704-687-7056,35.30845,-80.73368,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
8837 Albemarle Rd,"8837 Albemarle Rd, Charlotte",Charlotte,NC,28227,63948-295804,+1 704-748-0598,35.21154,-80.69628,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Target Charlotte 762,"9531 South Blvd, Charlotte",Charlotte,NC,28273,76129-88986,+1 704-556-7082,35.10835,-80.87873,"In Store,Redeem Rewards,Wireless Hot-Spot"
South Blvd & I-485,"9425 South Blvd, Charlotte",Charlotte,NC,28273,71681-302157,+1 980-985-9857,35.10881,-80.88115,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
Marriott Downtown Raleigh,"500 Fayetteville St. Mall, Raleigh",Raleigh,NC,27601,75937-101885,+1 919-334-9894,35.77386,-78.63966,"Blonde Espresso,In Store,Oven-warmed Food,Wireless Hot-Spot"
Seaboard Station,"16 Seaboard Ave, Raleigh",Raleigh,NC,27604,79152-306629,+1 919-321-8590,35.78902,-78.63889,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Glenwood Ave & Peace St,"609 W Peace St, Raleigh",Raleigh,NC,27605,8373-18706,+1 919-754-9007,35.78843,-78.64787,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Cameron St & Oberlin Rd,"2105 Cameron St, Raleigh",Raleigh,NC,27605,8218-193864,+1 919-856-9444,35.79071,-78.6618,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Raleigh 21,"500 Oberlin Rd., Raleigh",Raleigh,NC,27605,60964-295062,+1 919-828-9216,35.79135,-78.66192,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
NCSU Talley Student Union,"2610 Cates Ave, Raleigh",Raleigh,NC,27607,23848-188525,+1 919-513-2013,35.78347,-78.6707,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food"
Pickup - Hillsborough & Pogue,"2526 Hillsborough St, Raleigh",Raleigh,NC,27607,65553-298685,+1 984-842-3003,35.78822,-78.66938,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Wake Forest Rd and Six Forks R,"2901 Sherman Oak Place, Raleigh",Raleigh,NC,27609,55712-286740,+1 919-817-1908,35.82133,-78.62291,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
Capital Blvd & Huntleigh Dr,"3023 Capital Blvd., Raleigh",Raleigh,NC,27604,8462-15594,+1 919-875-8760,35.82136,-78.59183,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Raleigh CENTRAL 1892,"4191 The Circle at N Hills St., Raleigh",Raleigh,NC,27609,76282-93055,+1 919-781-9848,35.83727,-78.64233,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Lake Boone Trail & Wycliff Rd,"3800 Lake Boone Trail, Raleigh",Raleigh,NC,27607,11189-101304,+1 919-781-6211,35.81609,-78.69375,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Fayetteville Rd & Annaron Ct,"4203 Fayetteville Road, Raleigh",Raleigh,NC,27603,57972-290849,+1 919-779-3993,35.72208,-78.65231,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Lassiter Mill Rd & Six Forks R,"4421 Six Forks Road, Raleigh",Raleigh,NC,27609,8459-34859,+1 919-571-0713,35.83989,-78.643,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Wake Forest and Hardimont Road,"4109 Wake Forest Road, Raleigh",Raleigh,NC,27609,63942-296337,+1 984-292-0090,35.83786,-78.61342,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Garner 1104,"2700 Timber Dr, Garner",Garner,NC,27529,19907-128670,+1 919-772-9065,35.71548,-78.6389,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
New Bern Ave & New Hope Rd,"4421 New Bern Avenue, Raleigh",Raleigh,NC,27610,9465-96435,+1 919-231-3271,35.79874,-78.56078,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Crabtree Valley Mall Level 2,"4325 Glenwood Avenue, Raleigh",Raleigh,NC,27612,8589-267123,+1 919-788-0656,35.84114,-78.6799,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Edwards Mill Rd & Duraleigh Rd,"3101-305 Edwards Mill Road, Raleigh",Raleigh,NC,27612,8272-1608,+1 919-789-4422,35.82485,-78.70722,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Cary 0961,"2021 Walnut Street, Cary",Cary,NC,27518,54667-282264,+1 919-233-4451,35.75789,-78.73822,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Harris Teeter Raleigh 319,"2051 W Millbrook Rd, Raleigh",Raleigh,NC,27612,25488-233566,+1 919-787-1364,35.85691,-78.67963,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Crossroads Blvd & Caitboo Ave,"204 Crossroads Blvd, Cary",Cary,NC,27518,13922-108466,+1 919-233-4905,35.76054,-78.74101,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Falls of Neuse & Spring Forest,"6176 Falls of Neuse Road, Raleigh",Raleigh,NC,27609,8214-170244,+1 919-873-9615,35.8666,-78.6202,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Capital Blvd & Spring Forest R,"5100 Capital Blvd, Raleigh",Raleigh,NC,27616,21218-202504,+1 919-713-2135,35.85568,-78.58058,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Tryon Rd & Walnut St,"8204 Tryon Woods Dr, Cary",Cary,NC,27518,11967-104840,+1 919-851-6439,35.74616,-78.74186,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Cary 330,"1151 TRYON VILLAGE DRIVE, Cary",Cary,NC,27518,73887-103383,+1 919-233-3476,35.74668,-78.74342,"Blonde Espresso,In Store,Mobile Order and Pay,Redeem Rewards,Wireless Hot-Spot"
"Hwy 70 & Jones Sausage Rd, Exi","180 Cabela Drive, Garner",Garner,NC,27529,25115-100534,+1 919-819-5059,35.69759,-78.58386,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Pleasant Valley Promenade,"6282 Glenwood Avenue, Raleigh",Raleigh,NC,27612,8217-822,+1 919-785-0111,35.85774,-78.7036,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Walnut Street & Maynard Rd,"1107 Walnut Street, Cary",Cary,NC,27511,9840-98530,+1 919-468-9908,35.77148,-78.76259,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Six Forks & Saw Mill,"7447 Six Forks Road, Raleigh",Raleigh,NC,27615,67287-298395,+1 919-342-3314,35.88163,-78.64648,"Drive-Thru,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Raleigh 1826,"7900 Old Wake Forest Rd, Raleigh",Raleigh,NC,27616,76118-79329,+1 919-790-1024,35.86614,-78.56796,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
Harris Teeter Cary 430,"885 Walnut St, Cary",Cary,NC,27511,23652-230989,+1 919-481-4251,35.77382,-78.76613,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Target White Oak Garner 1824,"1040 Timber Dr E, Garner",Garner,NC,27529,59237-290363,+1 919-661-2017,35.68724,-78.5793,"In Store,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
"Hwy 540 & Business 64, Exit 24","212 Hinton Oaks Boulevard, Knightdale",Knightdale,NC,27545,26652-239808,+1 919-801-5181,35.79632,-78.51154,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Starbucks Wi-Fi"
Target Knightdale 2111,"1000 Shoppes at Midway Dr, Knightdale",Knightdale,NC,27545,76589-98291,+1 919-388-6100,35.7905,-78.5024,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Stonehenge Dr & Creedmoor Rd,"7498 Creedmor Road, Raleigh",Raleigh,NC,27613,8270-1606,+1 919-846-0633,35.88779,-78.67874,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"Weston Pkwy & Harrison Ave, Ex","125 Weston Parkway, Cary",Cary,NC,27513,8545-51440,+1 919-677-6104,35.82747,-78.77041,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Kildaire Farm & Farmington Woo,"1217 Kildaire Farm Road, Cary",Cary,NC,27511,10967-103699,+1 919-465-1229,35.7628,-78.78269,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Cary 112,"270 GRANDE HEIGHTS DR., Cary",Cary,NC,27513,48136-261246,+1 919-460-4326,35.805,-78.78085,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Target Raleigh Six Forks Road,"8701 Six Forks Rd, Raleigh",Raleigh,NC,27615,67142-298123,+1 919-326-0118,35.89834,-78.65292,"Blonde Espresso,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Six Forks & Strickland,"9441 Strickland Road, Raleigh",Raleigh,NC,27615,16019-160470,+1 919-845-4566,35.90091,-78.65438,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Fayetteville Rd & Ten Ten,"7860 Fayetteville Rd, Raleigh",Raleigh,NC,27603,65867-300167,+1 984-292-1179,35.6674,-78.69812,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Cary 257,"2080 Kildaire Farm Rd, Cary",Cary,NC,27518,23289-97715,+1 919-233-9483,35.73627,-78.77959,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Raleigh 495,"8345 Creedmoor Rd, Raleigh",Raleigh,NC,27613,59267-292601,+1 919-659-8221,35.90074,-78.68109,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Harris Teeter Garner 283,"8101 Fayetteville Rd, Fuquay-Varina",Fuquay-Varina,NC,27603,79379-100643,+1 919-772-0241,35.66343,-78.69967,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Raleigh 136,"9600 Falls of Neuse Rd., Raleigh",Raleigh,NC,27615,59759-293847,+1 919-676-6614,35.9045,-78.60099,"In Store,Mobile Order and Pay,Nitro Cold Brew,Redeem Rewards"
Falls of Neuse Rd & Morrocroft,"9630 Falls of the Neuse Road, Raleigh",Raleigh,NC,27615,8495-41081,+1 919-847-1363,35.9048,-78.60187,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Evans Rd & Maynard Rd,"1904 Northwest Maynard Road, Cary",Cary,NC,27513,10158-97033,+1 919-481-9124,35.79866,-78.79508,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
US64 & Edinburgh,"101 Edinburgh South Drive, Cary",Cary,NC,27511,63949-297248,+1 919-342-6260,35.73825,-78.79825,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Raleigh 90,"13210 Strickland Rd., Raleigh",Raleigh,NC,27613,55883-289607,+1 919-676-3534,35.90686,-78.72577,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Cary Parkway & Darrington,"1070 Darrington Dr, Cary",Cary,NC,27513,68126-301629,+1 919-342-3005,35.79998,-78.81712,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
500 W Market St,"500 W Market St, Greensboro",Greensboro,NC,27401,66193-298020,+1 336-860-0935,36.07331,-79.79648,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
North Carolina A&T State Unive,"1601 E Market St, Greensboro",Greensboro,NC,27411,8148-79743,+1 336-334-7560,36.07431,-79.77468,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Wireless Hot-Spot"
Battleground Ave & Mill St,"1603 Battleground Avenue, Greensboro",Greensboro,NC,27408,8696-93966,+1 336-272-7061,36.08943,-79.81047,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Cornwallis & Church,"405 E. Cornwallis Ave, Greensboro",Greensboro,NC,27405,69787-303608,+1 336-860-0969,36.10252,-79.78342,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Green Valley Rd and Friendly A,"607 Green Valley Rd, Greensboro",Greensboro,NC,27408,56748-289682,+1 336-936-4677,36.08436,-79.82955,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Greensboro 347,"2639 Lawndale Dr, Greensboro",Greensboro,NC,27408,27181-246565,+1 336-545-1354,36.10304,-79.81914,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Target Greensboro NW 1180,"2701 Lawndale Dr, Greensboro",Greensboro,NC,27408,56247-289105,+1 336-286-2511,36.10464,-79.82135,"Blonde Espresso,In Store,Nitro Cold Brew,Redeem Rewards"
